,date,User,Tweet
16,2022-11-23 19:45:43+00:00,Ranjeet69756959,@Sheetal_Parekh_ 💯true
17,2022-11-23 19:44:38+00:00,sheetal18232400,Kuch nai vroo galti se space khul gaya tha ek🥲 https://t.co/8XwCAH00x2
18,2022-11-23 19:39:24+00:00,Sheetal83916390,@iQIYI Nothing...i just like to see my fav actress' drama🙏thank you
19,2022-11-23 19:33:14+00:00,rklogy,"@ayu_shi03 @Devoleena_23 @simranveer78 @BiggBoss Bb14 tak sb deserving winner thai ..last yr se sheetal ke under gia h tb se open biasness start ki h , that's why last season full flop tha because live mai kuch or tha and epi mai sympathy card"
20,2022-11-23 19:23:28+00:00,SheetalGori,Vikram uncle how can I forget your Love n caring nature.i played your daughter as a child artist then again got chance to play ur daughter when I grown up n last i played ur daughter in law.u vl always be in my heart Om Shanti 🙏🌺 https://t.co/OSbCMF0zff
21,2022-11-23 19:21:47+00:00,sheetalmhatre1,"जेष्ठ अभिनेते विक्रम गोखले यांचं वयाच्या ८२ व्या वर्षी निधन. पुण्यात एका खाजगी रुग्णालयात गेल्या पंधरा दिवसांपासून सुरू होते उपचार. भावपूर्ण श्रद्धांजली 🙏

#actor #sad_demise #vikram_gokhle
#actor #VikramGokhale  #जेष्ठ #अभिनेते. https://t.co/gzT3ohuMzZ"
22,2022-11-23 19:13:38+00:00,SheetalJaitly,paying attention yet? https://t.co/2ZOTFroU5k
23,2022-11-23 19:13:37+00:00,Sheetalwank10,@Mehak_NamitFan @ColorsTV Makers ne already plan to nahi kiya hai. Ankit ko nikalane ka??
24,2022-11-23 19:12:42+00:00,SheetalJaitly,Does any other airline flight fail as much as @AirCanada always a pain in the A$$ to book online
25,2022-11-23 19:11:45+00:00,Sheetal09967737,@Sonali63394077 @Devoleena_23 @BiggBoss Teri kyu jal rhi h
26,2022-11-23 19:10:06+00:00,niilampaanchal,@jogia_sheetal Thanks 🙏
27,2022-11-23 19:09:26+00:00,sirzaaishere,@Lady_Bheem @iDopeDude Kyu vai? Woh winner material hai 😂😂 agar sheetal mam fair rahegi toh trophy v jitega.. jo v usko evict karne ko bol rahe hai dumb hai sab 😂😂😂.
28,2022-11-23 19:08:19+00:00,IndiGo6E,"@Viral_Jain1405 Mr Jain, we regret to know that you had to wait for so long. We are sharing this with the concerned team on priority to expedite the process. ~Sheetal"
29,2022-11-23 19:02:57+00:00,sheetalmhatre1,मुंबई विभाग क्रमांक ६ (कलिना व कुर्ला) तसेच विभाग क्रमांक ८ (घाटकोपर पूर्व व शिवाजीनगर - मानखुर्द) येथील महिला आघाडीची बैठक घेऊन पक्षबांधणी तसेच महिला सक्षमीकरण यासंदर्भात चर्चा करण्यात आली. @mieknathshinde @DrSEShinde @mlamangesh https://t.co/C9ktTNyMLE
30,2022-11-23 19:02:29+00:00,IndiGo6E,"@Ratheesh_Kumar Sir, we would like to have a closer look into it. Please allow us some time and we'll resolve your issue at the earliest. ~Sheetal"
31,2022-11-23 19:00:08+00:00,IndiGo6E,"@gdesigner31 Mr Arora, please try clearing cache &amp; cookies from the web browser history or try an alternate web browser. Let us know via DM if the issue still persists. ~Sheetal
  https://t.co/xcJPAix5sK"
32,2022-11-23 18:56:51+00:00,sheetalERS7080,@ColorsTV @BeingSalmanKhan RAJAJI #ShivThakare𓃵
33,2022-11-23 18:56:01+00:00,sheetalERS7080,@ColorsTV @BeingSalmanKhan #ShivThakare𓃵
34,2022-11-23 18:54:47+00:00,sheetalERS7080,@eternal_shivam 🤔 good 👍
35,2022-11-23 18:52:05+00:00,IndiGo6E,"@cooldudeinindia Mr Sharma, we regret to make you wait. Please be informed that we are sharing this with the concerned team for review and to expedite the process. ~Sheetal"
36,2022-11-23 18:50:26+00:00,IndiGo6E,"@slimjd So glad to know you &amp; family had a pleasant time flying with IndiGo. We will surely pass on your words of thanks to the concerned person, please DM us the PNR. #goIndiGo ~Sheetal  https://t.co/xcJPAifuBc"
37,2022-11-23 18:50:15+00:00,sheetalERS7080,@Devoleena_23 @BiggBoss Tu tera pet bhar kamdhanda to hai nahi. Isiliye baithe baithe twitter pe Kamane ka soch rahi hai.. bhul gai jya last year tang tut gai thi tere kukarmo kj vajah se.. bailbudhi aurat..#ShivThakare𓃵
38,2022-11-23 18:48:46+00:00,Shitalhitesh03,@BintiArohi Are un dono ko chodo Fahmaan ko dekh sum ki khushi dekho ♥️♥️
39,2022-11-23 18:47:51+00:00,Shitalhitesh03,@MadhuLahari13 Shayad aisa bhi ho sakta hai Fahmaan jb wapas jaaye sum ko bhi le jaaye may be sum evict ho jayegi shayad
40,2022-11-23 18:45:55+00:00,Shitalhitesh03,@Farhint414 @SumbulKhanTeam @TouqeerSumbul @fahmaankhan Are jhuth nhi aise hi sum ko surprise de rahe hai Fahmaan pehle aaya show ke promotion ke liye and sum se bhi mila such pure bond   share Sumaan God always protect Sumaan ka bond and always protect both of them🙌🙌🙌🙌
41,2022-11-23 18:45:54+00:00,rklogy,"@sidismyuniverse @Sagarrathore_ To spoil star face image ( woh ladki khud krne mai no 1 ha sheetal ko chance khud de dia) 2nd false narrative create kr rhi h kai mak favor sumbal &amp; gand ko support kr rhi hn and bahir audiance unke against ja rhy ha , intelligent game makers play kr rhy ,yeh last yr sheetal ai h"
42,2022-11-23 18:44:26+00:00,sheetalkendki,@ajaydevgn RIP Vikram sir
43,2022-11-23 18:44:04+00:00,Sheetal1842,I meet the happiest version of myself this year.
44,2022-11-23 18:43:43+00:00,sheetalERS7080,"@ShivThakareTM @JThakers Khara Raja manus...❤

#ShivThakare"
45,2022-11-23 18:42:59+00:00,sheetalERS7080,@ShivThakareTM @JThakers Bots Vala aahe ignore him..🤣🤣
46,2022-11-23 18:41:45+00:00,sheetalERS7080,@WaliaRohi @Shanwrites18 Hahaha dekho chugli gang also double dholki 🤣🤣🤣 dono baju se Bajti h
47,2022-11-23 18:41:44+00:00,Shitalhitesh03,@Prachee_17 Are meri to neend udd gayi
48,2022-11-23 18:41:42+00:00,IndiGo6E,@Kamlesh_Vidisha We are happy to serve you as many refills as you would like.  We sincerely hope you’ll join us in this endeavour on your next IndiGo flight. ~Sheetal 2/2
49,2022-11-23 18:40:41+00:00,GJyoti,@vrinshacaps @fahmaankhan @TouqeerSumbul Omg the way he look at him😍😍😍😍 he really cares for her
50,2022-11-23 18:40:40+00:00,Shitalhitesh03,@BLUEHOSTWEBHOST @SumbulKhanTeam @TouqeerSumbul @fahmaankhan No dear Fahmaan pehle hi clear kr chuka hai ke wo haal filhaal BB nhi Krna chahta i think wo show promotion ke liye gaya hai
